City,Date,Year,Month,Junction_ID,Traffic_volume,Zone,Road_Capacity2,Congestion_%,PM2.5,NO2,CO,AQI,Sensor_ID,Sensor_Status,Uptime_Percentage,Is_Weekend,Is_Festival,Weather_Condition,Severity_Score,Zone_Rank,Avg_Speed,Hour,Day_of_Week,Is_Peak_Hour,Congestion_Level,Pollution_Level,Prev_Traffic,Prev_AQI,AQI_Change,Traffic_MA_3,Traffic_Anomaly_Flag,DaY_Type,Smart_City_Index
Bangalore,25-03-2023,2023,Mar,J1,100,East,240,41.67,106.9,65.38,2.6,125.15,S1,Active,98.7176933,0,0,Fog,0.32,HIGH,69,10,2,0,Medium,Severe,100,125.15,0,15711,1,WeekDay,42.69
Hyderabad,20-05-2026,2026,May,J2,94,Central,198,47.47,80.63,47.95,2.25,99.64,S2,Active,92.90102383,0,0,Rain,0.23,HIGH,66,1,2,0,Medium,Severe,94,99.64,-25.51,15902.5,0,WeekDay,54.21
Hyderabad,12-07-2025,2025,Jul,J3,71,North,214,33.18,105.59,65.54,2.53,123,S3,Active,91.60971336,0,0,Rain,0.31,HIGH,73,1,2,0,Medium,Severe,71,123,23.36,15929,1,WeekDay,41.28
Warangal,19-07-2026,2026,Jul,J4,60,North,223,26.91,96.23,63.21,2.63,119.64,S4,Active,94.49847651,0,0,Fog,0.3,HIGH,77,1,2,0,Medium,Moderate,60,119.64,-3.37,16059.56,1,WeekDay,51.16
Bangalore,06-11-2022,2022,Nov,J5,111,North,280,39.64,97.18,60.66,2.68,120.39,S5,Active,93.31035276,0,0,Fog,0.29,HIGH,70,8,2,0,Medium,Severe,111,120.39,0.75,15917.56,0,WeekDay,59.86
Hyderabad,04-07-2024,2024,Jul,J6,93,North,486,19.14,28.68,10.26,0.36,24.65,S6,Unstable,85.92213569,0,0,Clear,0.06,LOW,80,11,2,0,Low,Moderate,93,24.65,-95.74,15878.44,0,WeekDay,90.65
Hyderabad,08-01-2023,2023,Jan,J7,81,East,324,25,55.12,28,1.83,72.53,S7,Unstable,87.7073807,0,0,Rain,0.15,MEDIUM,78,3,2,0,Low,Moderate,81,72.53,47.88,15737.33,0,WeekDay,71.1
Chennai,17-04-2022,2022,Apr,J8,99,North,483,20.5,43.5,29.44,1.62,62.91,S8,Unstable,85.20349718,0,0,Rain,0.14,MEDIUM,80,4,2,0,Medium,Severe,99,62.91,-9.62,15713.44,0,WeekDay,76.81
Pune,17-01-2024,2024,Jan,J9,101,Central,71,142.25,22.4,14.81,0.98,35.25,S9,Unstable,86.62244259,0,0,Clear,0.07,LOW,20,7,2,0,Low,Moderate,101,35.25,-27.66,15695.56,0,WeekDay,89.02
Hyderabad,30-11-2025,2025,Nov,J10,92,West,440,20.91,104.64,63.46,2.92,129.85,S10,Active,95.9477449,0,0,Heavy Traffic Event,0.31,HIGH,80,10,2,0,Low,Moderate,92,129.85,94.59,15814.44,0,WeekDay,57.52
